idsbr,latitude,longitude,geocode_status,geom_wkt
14402825,0.3343630,108.9659000,0,"POINT(108.9659 0.334363)"
14403912,0.3520450,109.0093000,0,"POINT(109.0093 0.352045)"
14404154,0.2143100,109.1768000,0,"POINT(109.1768 0.21431)"
14405043,0.2769300,109.0700000,0,"POINT(109.07 0.27693)"
14405281,0.5446040,108.9231000,0,"POINT(108.9231 0.544604)"
14405475,0.3888080,109.1602000,0,"POINT(109.1602 0.388808)"
14405476,0.3887780,109.1606000,0,"POINT(109.1606 0.388778)"
14406462,0.0227440,109.2911000,0,"POINT(109.2911 0.022744)"
14406917,0.3625950,108.9602000,0,"POINT(108.9602 0.362595)"
14407139,0.4283340,109.2146000,0,"POINT(109.2146 0.428334)"
14409121,0.3619760,109.1682000,0,"POINT(109.1682 0.361976)"
14409246,0.3049530,109.0353000,0,"POINT(109.0353 0.304953)"
14409383,0.2751010,109.0786000,0,"POINT(109.0786 0.275101)"
14409401,0.1607140,109.2011000,0,"POINT(109.2011 0.160714)"
14409590,0.3584870,109.1693000,0,"POINT(109.1693 0.358487)"
14409617,0.2919880,109.0373000,0,"POINT(109.0373 0.291988)"
14409626,0.5337420,108.9181000,0,"POINT(108.9181 0.533742)"
14409919,0.3361830,109.2168000,0,"POINT(109.2168 0.336183)"
14409949,0.0735860,109.2025000,0,"POINT(109.2025 0.073586)"
14411295,0.3608640,109.1660000,0,"POINT(109.166 0.360864)"
14411301,0.5272900,108.9486000,0,"POINT(108.9486 0.52729)"
14411720,0.3200380,109.1423000,0,"POINT(109.1423 0.320038)"
14412134,0.3279180,108.9923000,0,"POINT(108.9923 0.327918)"
14413619,0.3587290,109.0110000,0,"POINT(109.011 0.358729)"
14413951,0.4451720,108.9740000,0,"POINT(108.974 0.445172)"
14414205,0.1735350,109.2414000,0,"POINT(109.2414 0.173535)"
14414234,0.2282030,109.1415000,0,"POINT(109.1415 0.228203)"
14414305,0.3392520,109.0005000,0,"POINT(109.0005 0.339252)"
14414585,0.2808530,109.0728000,0,"POINT(109.0728 0.280853)"
14414793,0.5002220,108.9107000,0,"POINT(108.9107 0.500222)"
