kk,gid,ikn,bstt,luas,bsbtt,idsls,kdkab,kdkec,kdsls,nmkab,nmkec,nmsls,bstt_k,kddesa,kdprov,khusus,muatan,nmdesa,nmprov,posisi,rw_dki,segmen,sumber,dom_sls,periode,tingkat,idsubsls,kdsubsls,nm_gedung,wil_campur
,"617372","0",,2.68154952225005,,"61041100062003","04","110","2003",MEMPAWAH,SUNGAI KUNYIT,PULAU SETINJAN,,"006","61",,,SUNGAI KUNYIT LAUT,KALIMANTAN BARAT,,,,,,2024_1,,"6104110006200300","00",,
,"617371","0",,2.35022546027952,,"61041100062002","04","110","2002",MEMPAWAH,SUNGAI KUNYIT,PULAU DAMAR,,"006","61",,,SUNGAI KUNYIT LAUT,KALIMANTAN BARAT,,,,,,2024_1,,"6104110006200200","00",,
,"617370","0",,0.403579265546175,,"61041210060005","04","121","0005",MEMPAWAH,SADANIANG,RT 010 RW 02 DUSUN SAMANTAKIN,,"006","61",,,SUAK BARANGAN,KALIMANTAN BARAT,,,,,,2024_1,,"6104121006000500","00",,
,"617367","0",,0.119713283616766,,"61041210010003","04","121","0003",MEMPAWAH,SADANIANG,RT 003 RW 06 DUSUN KUMPANG,,"001","61",,,PENTEK,KALIMANTAN BARAT,,,,,,2024_1,,"6104121001000300","00",,
,"617366","0",,0.566804921681487,,"61041200080004","04","120","0004",MEMPAWAH,TOHO,RT 004 DUSUN PINANG,,"008","61",,,KECURIT,KALIMANTAN BARAT,,,,,,2024_1,,"6104120008000400","00",,
,"617365","0",,1.3930178009971,,"61041210060001","04","121","0001",MEMPAWAH,SADANIANG,RT 001 RW 01 DUSUN BARANGAN,,"006","61",,,SUAK BARANGAN,KALIMANTAN BARAT,,,,,,2024_1,,"6104121006000100","00",,
,"617364","0",,0.184274761313373,,"61041100080010","04","110","0010",MEMPAWAH,SUNGAI KUNYIT,RT 010 RW 03 DUSUN SEKIP I,,"008","61",,,SUNGAI KUNYIT HULU,KALIMANTAN BARAT,,,,,,2024_1,,"6104110008001000","00",,
,"617363","0",,0.31785121710537,,"61040900110012","04","090","0012",MEMPAWAH,SUNGAI PINYUH,RT 016 RW 03 DUSUN TIMUR,,"011","61",,,SUNGAI BAKAU BESAR LAUT,KALIMANTAN BARAT,,,,,,2024_1,,"6104090011001200","00",,
,"617362","0",,1.13423295780081,,"61040900050001","04","090","0001",MEMPAWAH,SUNGAI PINYUH,RT 001 RW 01 DUSUN UTARA,,"005","61",,,GALANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104090005000100","00",,
,"617361","0",,22.9196115204225,,"61041210052001","04","121","2001",MEMPAWAH,SADANIANG,HUTAN,,"005","61",,,ANSIAP,KALIMANTAN BARAT,,,,,,2024_1,,"6104121005200100","00",,
,"617360","0",,1.57472783881954,,"61040810060039","04","081","0039",MEMPAWAH,SEGEDONG,RT 028 RW 007 DUSUN TUNAS BARU,,"006","61",,,PENITI DALAM II,KALIMANTAN BARAT,,,,,,2024_1,,"6104081006003900","00",,
,"617359","0",,0.830935610820188,,"61040800030019","04","080","0019",MEMPAWAH,JONGKAT,RT 002 RW 05 DUSUN KOPI,,"003","61",,,WAJOK HILIR,KALIMANTAN BARAT,,,,,,2024_1,,"6104080003001900","00",,
,"617358","0",,0.039175534203762,,"61041000140001","04","100","0001",MEMPAWAH,MEMPAWAH HILIR,RT 001 RW 001 DUSUN BUGIS,,"014","61",,,SENGKUBANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104100014000100","00",,
,"617357","0",,0.949804234077928,,"61041210010006","04","121","0006",MEMPAWAH,SADANIANG,RT 006 RW 02 DUSUN MURU,,"001","61",,,PENTEK,KALIMANTAN BARAT,,,,,,2024_1,,"6104121001000600","00",,
,"617356","0",,0.115910950532096,,"61040900040012","04","090","0012",MEMPAWAH,SUNGAI PINYUH,RT 001 RW 06 DUSUN 03,,"004","61",,,NUSAPATI,KALIMANTAN BARAT,,,,,,2024_1,,"6104090004001200","00",,
,"617355","0",,0.142024738534631,,"61041210020009","04","121","0009",MEMPAWAH,SADANIANG,RT 009 RW 06 DUSUN GELOMBANG,,"002","61",,,SEKABUK,KALIMANTAN BARAT,,,,,,2024_1,,"6104121002000900","00",,
,"617354","0",,0.144399825404612,,"61041210040009","04","121","0009",MEMPAWAH,SADANIANG,RT 014 RW 03 DUSUN PELANJAU,,"004","61",,,AMAWANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104121004000900","00",,
,"617353","0",,0.206344218798804,,"61041210040007","04","121","0007",MEMPAWAH,SADANIANG,RT 010 RW 03 DUSUN PELANJAU,,"004","61",,,AMAWANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104121004000700","00",,
,"617352","0",,0.225329062393756,,"61040910030009","04","091","0009",MEMPAWAH,ANJONGAN,RT 008 RW 02 DUSUN PRAMUKA,,"003","61",,,ANJUNGAN DALAM,KALIMANTAN BARAT,,,,,,2024_1,,"6104091003000900","00",,
,"617351","0",,2.24238793278081,,"61040800060016","04","080","0016",MEMPAWAH,JONGKAT,RT 001 RW 05 DUSUN TARUNA BHAKTI,,"006","61",,,PENITI LUAR,KALIMANTAN BARAT,,,,,,2024_1,,"6104080006001600","00",,
,"617350","0",,0.088730828193085,,"61041000122003","04","100","2003",MEMPAWAH,MEMPAWAH HILIR,PULAU PENIBUNG,,"012","61",,,PASIR,KALIMANTAN BARAT,,,,,,2024_1,,"6104100012200300","00",,
,"617349","0",,0.060875077156197,,"61040800032003","04","080","2003",MEMPAWAH,JONGKAT,PULAU BABI,,"003","61",,,WAJOK HILIR,KALIMANTAN BARAT,,,,,,2024_1,,"6104080003200300","00",,
,"617348","0",,0.444295198094048,,"61040800032004","04","080","2004",MEMPAWAH,JONGKAT,PULAU BUMIN,,"003","61",,,WAJOK HILIR,KALIMANTAN BARAT,,,,,,2024_1,,"6104080003200400","00",,
,"617347","0",,1.37146612639359,,"61041200030001","04","120","0001",MEMPAWAH,TOHO,RT 001 RW 01 DUSUN BENUAN JAYA,,"003","61",,,BENUANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104120003000100","00",,
,"617346","0",,0.583117536551251,,"61041200030002","04","120","0002",MEMPAWAH,TOHO,RT 002 RW 01 DUSUN BENUAN JAYA,,"003","61",,,BENUANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104120003000200","00",,
,"617345","0",,0.389922634196093,,"61041010060025","04","101","0025",MEMPAWAH,MEMPAWAH TIMUR,RT 025 RW 07 DUSUN MEKAR JAYA,,"006","61",,,ANTIBAR,KALIMANTAN BARAT,,,,,,2024_1,,"6104101006002500","00",,
,"617368","0",,0.649569319918207,,"61041210050003","04","121","0003",MEMPAWAH,SADANIANG,RT 003 DUSUN TIKALONG,,"005","61",,,ANSIAP,KALIMANTAN BARAT,,,,,,2024_1,,"6104121005000300","00",,
,"617344","0",,0.623210409669806,,"61041200050013","04","120","0013",MEMPAWAH,TOHO,RT 011 RW 04 DUSUN KUMPANG,,"005","61",,,SEPANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104120005001300","00",,
,"617343","0",,0.344186826917775,,"61041100090005","04","110","0005",MEMPAWAH,SUNGAI KUNYIT,RT 005 RW 02 DUSUN SERAI WANGI,,"009","61",,,BUKIT BATU,KALIMANTAN BARAT,,,,,,2024_1,,"6104110009000500","00",,
,"617342","0",,0.90023673131019,,"61040900050016","04","090","0016",MEMPAWAH,SUNGAI PINYUH,RT 016 RW 01 DUSUN UTARA,,"005","61",,,GALANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104090005001600","00",,
,"617341","0",,0.311963546226774,,"61040900050002","04","090","0002",MEMPAWAH,SUNGAI PINYUH,RT 002 RW 01 DUSUN UTARA,,"005","61",,,GALANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104090005000200","00",,
,"617340","0",,4.59659060340976,,"61041200090008","04","120","0008",MEMPAWAH,TOHO,RT 008 RW 02 DUSUN KUALA TOHO,,"009","61",,,TOHO ILIR,KALIMANTAN BARAT,,,,,,2024_1,,"6104120009000800","00",,
